stop_id_a,stop_id_b,distance
8501181:0:1,8592050:0:D,359.1886
8501181:0:1,8592125,423.4987
8501181:0:1,8501181:0:2,0.0
8501181:0:1,8501120:0:7,455.43802
8501181:0:1,8501120:0:1,455.43802
8501181:0:1,8501120,455.43802
8501181:0:1,8501181,0.0
8501181:0:1,Parent8592050,359.1886
8501181:0:1,8501160,424.9779
8501181:0:1,8501120:0:4,455.43802
8501181:0:1,8592011,407.73706
8501181:0:1,8501160:0:1,424.9779
8501208,8593844,74.49929
8501208,8592106,172.30966
8501208,8592102,450.06818
8501208,8592021,241.66927
8501208,8518452:0:3,494.64563
8501208,8518452:0:1,489.49466
8501208,8501207,409.0584
8501208,8518452:0:4,497.29803
8501208,8501209,477.22647
8501208,8592103,442.90872
8501208,8592022,402.6583
8501208,8592105,215.86086
8501208,8518452:0:2,491.95267
8506907,8506903,428.7513
8506907,8581917,324.75302
8506907,8581918,435.5788
8506907,8505529,169.35074
8506907,8506905,191.3803
8570423,8570422,303.38284
8579238:0:D,8592115,440.40628
8579238:0:D,8592118,301.92072
8579238:0:D,8592099,461.0011
8579238:0:D,8579238,0.0
8579238:0:D,8592008,332.7192
8579238:0:D,8592131,218.76044
8587546,8591968,379.16177
8589525,8579239:0:E,425.3193
8589525,8591966,473.60287
8589525,Parent8579239,425.3193
8589525,8579239:0:B,440.44128
8589525,8579239,425.3193
8589525,8591970,456.02274
8591946,8591961,181.78293
8591946,8591952,498.89194
8591946,8591954,247.74388
8591946,8501215,492.3076
8591946,8591960,481.22794
8591946,8591947,468.6141
8591946,8591949,490.1091
8591946,8591951,247.92633
8591946,8501216,469.92242
8591946,8588873,474.1943
8592035,8501160:0:2,471.3363
8592035,8592001,290.10086
8592035,8592119,332.29892
8592035,8592060,344.70297
8592035,Parent8501160,471.3363
8592035,8591980,237.2857
8592035,8592041,349.39355
8592035,8592109,326.45102
8592035,8592120,326.84998
8592035,8592104,294.0355
8592035,8592010,381.27933
8592035,8591984,220.31961
8592035,8592096,399.1839
8592035,8501160,471.3363
8592035,8592011,497.25702
8592035,8592036,450.96423
8592035,8501160:0:1,471.3363
8592049,8518452:0:3,198.65674
8592049,8518452:0:1,214.30643
8592049,8510543,188.83812
8592049,Parent8518452,191.07657
8592049,8518452:0:4,191.76935
8592049,8592217,451.30582
8592049,8501209,454.55127
8592049,8592103,242.01604
8592049,8592180,404.20242
8592049,8592179,332.4204
8592049,8592105,467.67566
8592049,8518452:0:2,207.34944
8592080,8593837,242.04959
8592080,8592068,261.03314
8592080,8592106,383.67322
8592080,8591983,399.1555
8592080,8592021,353.74295
8592080,8593838,336.84747
8592080,8595938,437.60336
8592080,8592044,227.8297
8592089,8592055,72.95323
8592089,8592019,380.32587
8592089,8595004,183.28061
8592089,8587357,247.64229
8592089,8593249,279.97812
8592089,8592092,177.16962
8592115,8592067,226.01135
8592115,8579238:0:D,440.40628
8592115,8592016,417.99225
8592115,8579238,440.40628
8592115,8592059,419.85678
8592135,8501160:0:2,406.20203
8592135,8504176,459.14706
8592135,8592034,261.5062
8592135,8592060,199.98431
8592135,Parent8501160,406.20203
8592135,8592076,434.91406
8592135,8590442,450.71152
8592135,8592120,215.65616
8592135,8591988,459.3979
8592135,8592098,486.72565
8592135,8592138,439.57565
8592135,8592071,368.00412
8592135,8592125,287.11435
8592135,8592010,430.23767
8592135,8591984,433.65106
8592135,8592096,481.9358
8592135,8501160,406.20203
8592135,8592033,354.64124
8592135,8592011,308.0618
8592135,8592053,459.7834
8592135,8501160:0:1,406.20203
8593861,Parent8501122,28.987768
8593861,8592164,300.1616
8593861,8592155,452.98154
8593861,8592162,471.74374
8593861,8501122:0:2,34.900253
8593861,8501122:0:1,30.868025
8593861,8592160,269.4826
8593861,8592154,271.99576
Parent8501181,8501160:0:2,424.9779
Parent8501181,8501120:0:8,455.43802
Parent8501181,8501181:0:1,0.0
Parent8501181,8501120:0:5,455.43802
Parent8501181,Parent8501160,424.9779
Parent8501181,8579254,289.19604
Parent8501181,8501120:0:3,455.43802
Parent8501181,Parent8501120,455.43802
Parent8501181,8592050:0:F,422.53848
Parent8501181,8592050:0:H,359.1886
Parent8501181,8579253,122.82039
Parent8501181,8590442,284.40012
Parent8501181,8591818,54.007874
Parent8501181,8591988,191.45209
Parent8501181,8501120:0:70,455.43802
